Point	Latitude	Longitude
1	69.6493	18.9655
2	69.6492	18.9652
3	69.6490	18.9648
4	69.6487	18.9642
5	69.6488	18.9635
5a	69.6491	18.9635
14	69.6509	18.9613
14a	69.6511	18.9616
15	69.6512	18.9618
15a	69.6514	18.9619
16	69.6513	18.9598
16a	69.6516	18.9603
16b	69.6515	18.9607
16c	69.6514	18.9610
16d	69.6511	18.9610
16e	69.6510	18.9605
17	69.6507	18.9594
18	69.6503	18.9598
19	69.6499	18.9602
20	69.6484	18.9550
20a	69.6482	18.9553
21	69.6481	18.9556
22	69.6480	18.9560
23	69.6466	18.9488
24	69.6464	18.9485
25	69.6462	18.9482
25a	69.6460	18.9479
25b	69.6458	18.9476
25c	69.6456	18.9473
26	69.6453	18.9466
26a	69.6452	18.9464
26b	69.6450	18.9461
26c	69.6449	18.9459
27	69.6457	18.9433
28	69.6454	18.9428
28a	69.6453	18.9426
28b	69.6451	18.9424
29	69.6449	18.9420
30	69.6420	18.9332
31	69.6418	18.9329
31a	69.6417	18.9327
31b	69.6416	18.9325
31c	69.6415	18.9323
31d	69.6414	18.9321
32	69.6414	18.9307
32a	69.6413	18.9304
32b	69.6412	18.9301
32c	69.6411	18.9298